# ws  mean_xb  std_xb  mean_xt  std_xt
4.0 0.13206070746531987 0.05069420338458608 0.0 0.0
5.0 0.20551948006455711 0.08320175838343469 0.0 0.0
6.0 0.2911878403693639 0.12317949755933769 0.0 0.0
7.0 0.3762395887728483 0.16527036789424943 0.0 0.0
8.0 0.46627990038604034 0.21168272880613925 0.0 0.0
9.0 0.5902020910207535 0.2759299040297585 0.0 0.0
10.0 0.7287111309729035 0.34980565611734565 0.0 0.0
11.0 0.8818073565009096 0.43366888197923914 0.0 0.0
12.0 0.7439268164689761 0.3740600570029681 0.0 0.0
13.0 0.6340394718504906 0.32543578601835554 0.0 0.0
14.0 0.5668844025266062 0.29656984704047784 0.0 0.0
15.0 0.5218379869904239 0.27792665439503617 0.0 0.0
16.0 0.48371689834425735 0.26198446329668823 0.0 0.0
17.0 0.45291667646388434 0.24921198136848097 0.0 0.0
18.0 0.42943873453103887 0.23985559888625335 0.0 0.0
19.0 0.4073643439585353 0.23078286599361406 0.0 0.0
20.0 0.390482236072826 0.22423293139128064 0.0 0.0
21.0 0.37521972729024267 0.2182554918506267 0.0 0.0
22.0 0.3641294727155725 0.21442670120671403 0.0 0.0
23.0 0.35061105012401 0.20891357562582968 0.0 0.0
24.0 0.3404952266701252 0.20518799562830226 0.0 0.0
25.0 0.33028012347270763 0.2012011962594169 0.0 0.0
