# ws  mean_xb  std_xb  mean_xt  std_xt
4.0 0.13335888753870206 0.07339882422205 0.0 0.0
5.0 0.20762469045553955 0.12086246995421106 0.0 0.0
6.0 0.29425712695780226 0.17936995850996856 0.0 0.0
7.0 0.3802886426774418 0.24114091645012953 0.0 0.0
8.0 0.47137835995211647 0.30932961394211345 0.0 0.0
9.0 0.596735792381231 0.4037493790230759 0.0 0.0
10.0 0.7368594226417461 0.5123929743834407 0.0 0.0
11.0 0.8917489998103489 0.6357602518405113 0.0 0.0
12.0 0.7523710716138284 0.5488274986515461 0.0 0.0
13.0 0.6412779314211744 0.4777928015985717 0.0 0.0
14.0 0.5733880858816377 0.4357131731897657 0.0 0.0
15.0 0.5278505099729426 0.4085473919880991 0.0 0.0
16.0 0.48931074867309715 0.38530599817912414 0.0 0.0
17.0 0.45817127464068075 0.36669723758031025 0.0 0.0
18.0 0.43443497977000256 0.3530830038932763 0.0 0.0
19.0 0.4121155762806413 0.3398511401873143 0.0 0.0
20.0 0.39504678140414884 0.33031011958344036 0.0 0.0
21.0 0.3796145310188447 0.3216222185296052 0.0 0.0
22.0 0.3684020391512014 0.31607397251970804 0.0 0.0
23.0 0.3547316061001314 0.30802612760618747 0.0 0.0
24.0 0.34450264941886627 0.3026188463414958 0.0 0.0
25.0 0.33417237341664313 0.2968106343631197 0.0 0.0
