# ws  mean_xb  std_xb  mean_xt  std_xt
4.0 0.1312797979321723 0.030091341162907292 0.0 0.0
5.0 0.20425334969611295 0.04865971840375294 0.0 0.0
6.0 0.28934189904527297 0.07121980024129236 0.0 0.0
7.0 0.3738041789228269 0.09471437544923095 0.0 0.0
8.0 0.4632131925319761 0.12040897418109466 0.0 0.0
9.0 0.5862712145873534 0.15595674905903234 0.0 0.0
10.0 0.7238091056192975 0.19664073838936227 0.0 0.0
11.0 0.8758261887577027 0.24259838700583045 0.0 0.0
12.0 0.7388456580579122 0.20836243428425902 0.0 0.0
13.0 0.6296837074516015 0.18058901822261034 0.0 0.0
14.0 0.5629704169077979 0.16400826137709418 0.0 0.0
15.0 0.5182198169049876 0.15323487203952066 0.0 0.0
16.0 0.4803505153085845 0.14403634755630992 0.0 0.0
17.0 0.4497544127747039 0.1366560869842078 0.0 0.0
18.0 0.4264316602066144 0.13120879643210528 0.0 0.0
19.0 0.40450454065570446 0.12596511361471516 0.0 0.0
20.0 0.38773475282363046 0.12213107120964291 0.0 0.0
21.0 0.372574227509867 0.11865634000736336 0.0 0.0
22.0 0.3615575199488623 0.1163578296969266 0.0 0.0
23.0 0.34813055755794564 0.11317400795642513 0.0 0.0
24.0 0.33808266707717477 0.11097759672453321 0.0 0.0
25.0 0.32793679572967777 0.10866696706867385 0.0 0.0
